常一线产率,常二线产率,常三线产率
0.122,0.147,0.035
0.108,0.159,0.045
0.121,0.152,0.035
0.12,0.155,0.036
0.111,0.161,0.055
0.11,0.159,0.052
0.105,0.159,0.06
0.108,0.162,0.046
0.119,0.145,0.055
0.114,0.155,0.048
0.113,0.15,0.06
0.111,0.161,0.057
0.108,0.161,0.042
0.112,0.153,0.04
0.111,0.153,0.038
0.128,0.153,0.061
0.111,0.163,0.053
0.131,0.153,0.062
0.109,0.163,0.055
0.126,0.151,0.033
0.121,0.148,0.036
0.119,0.144,0.046
0.115,0.154,0.036
0.122,0.151,0.037
0.124,0.149,0.056
0.108,0.161,0.055
0.122,0.146,0.037
0.124,0.147,0.033
0.125,0.15,0.034
0.121,0.153,0.06
0.116,0.155,0.038
0.124,0.147,0.027
0.122,0.142,0.052
0.121,0.151,0.036
0.12,0.147,0.042
0.102,0.163,0.065
0.121,0.143,0.033
0.127,0.152,0.062
0.113,0.153,0.041
0.121,0.152,0.034
0.12,0.143,0.052
0.126,0.155,0.056
0.116,0.145,0.051
0.124,0.151,0.037
0.108,0.163,0.04
0.123,0.15,0.064
0.098,0.161,0.061
0.114,0.15,0.048
0.104,0.165,0.042
0.113,0.15,0.055
0.108,0.159,0.056
0.111,0.148,0.04
0.117,0.157,0.061
0.109,0.162,0.051
0.118,0.154,0.063
0.118,0.149,0.064
0.105,0.16,0.047
0.119,0.145,0.051
0.108,0.165,0.042
0.114,0.157,0.048
0.106,0.16,0.05
0.11,0.159,0.052
0.106,0.161,0.04
0.114,0.153,0.055
0.106,0.16,0.041
0.115,0.154,0.061
0.118,0.152,0.056
0.111,0.15,0.049
0.11,0.141,0.046
0.114,0.159,0.048
0.119,0.152,0.066
0.114,0.159,0.052
0.112,0.157,0.049
0.12,0.152,0.06
0.109,0.165,0.053
0.126,0.143,0.036
0.11,0.156,0.045
0.121,0.146,0.03
0.105,0.162,0.065
0.11,0.153,0.047
0.129,0.154,0.061
0.123,0.147,0.034
0.111,0.157,0.05
0.113,0.161,0.055
0.123,0.143,0.036
0.121,0.145,0.036
0.119,0.149,0.032
0.122,0.153,0.053
0.122,0.147,0.032
0.119,0.148,0.034
0.116,0.148,0.038
0.122,0.158,0.056
0.122,0.149,0.038
0.124,0.142,0.032
0.121,0.149,0.039
0.114,0.153,0.059
0.107,0.162,0.045
0.111,0.159,0.047
0.121,0.152,0.062
0.105,0.153,0.05
0.119,0.151,0.035
0.109,0.165,0.042
0.115,0.142,0.052
0.111,0.155,0.052
0.115,0.156,0.037
0.111,0.147,0.051
0.109,0.159,0.04
0.124,0.146,0.034
0.113,0.161,0.051
0.111,0.161,0.052
0.114,0.156,0.036
0.115,0.152,0.044
0.097,0.158,0.057
0.126,0.152,0.032
0.108,0.159,0.051
0.11,0.159,0.049
0.118,0.15,0.035
0.109,0.166,0.052
0.115,0.151,0.06
0.111,0.154,0.066
0.118,0.144,0.052
0.114,0.153,0.05
0.11,0.148,0.058
0.124,0.156,0.059
0.108,0.159,0.051
0.122,0.148,0.038
0.115,0.146,0.047
0.105,0.161,0.06
0.118,0.149,0.034
0.116,0.151,0.061
0.118,0.158,0.035
0.117,0.149,0.034
0.123,0.143,0.054
0.127,0.151,0.065
0.131,0.158,0.066
0.101,0.161,0.057
0.117,0.142,0.058
0.123,0.145,0.036
0.115,0.148,0.039
0.118,0.145,0.04
0.111,0.151,0.038
0.103,0.166,0.043
0.122,0.143,0.043
0.113,0.152,0.051
0.106,0.163,0.046
0.121,0.14,0.033
0.117,0.161,0.049
0.115,0.158,0.063
0.112,0.161,0.048
0.121,0.156,0.059
0.124,0.148,0.037
0.108,0.159,0.055
0.129,0.154,0.064
0.1,0.164,0.061
0.112,0.164,0.054
0.127,0.155,0.059
0.126,0.15,0.065
0.114,0.149,0.064
0.119,0.148,0.058
0.109,0.157,0.051
0.116,0.151,0.052
0.106,0.158,0.046
0.116,0.159,0.055
0.109,0.165,0.041
0.116,0.162,0.058
0.122,0.143,0.031
0.126,0.145,0.033
0.122,0.15,0.04
0.117,0.146,0.057
0.11,0.161,0.048
0.116,0.149,0.041
0.113,0.153,0.054
0.113,0.16,0.054
0.112,0.155,0.054
0.115,0.165,0.048
0.116,0.149,0.039
0.12,0.154,0.056
0.109,0.155,0.048
0.129,0.154,0.064
0.118,0.155,0.034
0.125,0.155,0.066
0.106,0.16,0.059
0.117,0.153,0.059
0.123,0.147,0.038
0.113,0.16,0.053
0.122,0.142,0.054
0.106,0.157,0.04
0.114,0.153,0.035
0.114,0.15,0.053
0.111,0.16,0.05
0.127,0.145,0.033
0.122,0.149,0.034
0.122,0.149,0.035
0.117,0.158,0.051
0.113,0.156,0.06
0.12,0.148,0.038
0.108,0.163,0.04
0.116,0.15,0.04
0.128,0.146,0.033
0.114,0.151,0.065
0.125,0.153,0.061
0.109,0.147,0.035
0.101,0.161,0.065
0.122,0.147,0.037
0.122,0.15,0.033
0.115,0.164,0.051
0.105,0.16,0.049
0.119,0.144,0.035
0.109,0.145,0.05
0.116,0.157,0.056
0.12,0.149,0.041
0.113,0.144,0.055
0.111,0.141,0.053
0.122,0.15,0.039
0.111,0.166,0.04
0.114,0.156,0.049
0.108,0.168,0.048
0.103,0.162,0.06
0.116,0.156,0.063
0.114,0.155,0.039
0.103,0.16,0.059
0.112,0.162,0.05
0.115,0.158,0.035
0.123,0.144,0.027
0.125,0.15,0.065
0.11,0.16,0.052
0.113,0.15,0.052
0.122,0.146,0.036
0.115,0.153,0.032
0.122,0.152,0.036
0.118,0.142,0.052
0.122,0.143,0.032
0.123,0.146,0.036
0.121,0.149,0.036
0.118,0.153,0.038
0.105,0.158,0.042
0.125,0.155,0.062
0.109,0.156,0.054
0.109,0.16,0.049
0.111,0.166,0.044
0.118,0.143,0.05
0.105,0.165,0.062
0.123,0.147,0.042
0.121,0.148,0.036
0.121,0.153,0.04
0.123,0.153,0.058
0.11,0.164,0.05
0.109,0.162,0.053
0.113,0.149,0.049
0.118,0.155,0.042
0.103,0.159,0.059
0.116,0.158,0.048
0.107,0.158,0.054
0.111,0.138,0.052
0.113,0.162,0.048
0.119,0.15,0.059
0.116,0.15,0.043
0.116,0.159,0.052
0.115,0.163,0.052
0.109,0.161,0.052
0.105,0.158,0.052
0.112,0.16,0.049
0.12,0.144,0.037
0.113,0.146,0.052
0.103,0.158,0.045
0.115,0.156,0.045
0.109,0.16,0.05
0.107,0.163,0.061
0.119,0.156,0.049
0.106,0.158,0.052
0.119,0.152,0.041
0.106,0.162,0.042
0.114,0.147,0.066
0.126,0.151,0.064
0.105,0.163,0.052
0.114,0.153,0.042
0.107,0.162,0.061
0.114,0.149,0.041
0.108,0.158,0.044
0.112,0.14,0.057
0.105,0.159,0.043
0.116,0.151,0.038
0.12,0.147,0.05
0.122,0.149,0.035
0.121,0.148,0.052
0.121,0.153,0.04
0.117,0.146,0.036
0.108,0.159,0.041
0.111,0.163,0.054
0.114,0.162,0.047
0.123,0.157,0.066
0.124,0.145,0.033
0.111,0.157,0.047
0.112,0.155,0.058
0.113,0.16,0.054
0.119,0.145,0.035
0.118,0.154,0.062
0.107,0.166,0.042
0.105,0.158,0.051
0.113,0.157,0.039
0.1,0.161,0.044
0.125,0.15,0.058
0.114,0.155,0.05
0.107,0.165,0.047
0.119,0.149,0.037
0.118,0.142,0.05
0.12,0.152,0.031
0.103,0.162,0.044
0.121,0.147,0.033
0.113,0.15,0.052
0.115,0.157,0.049
0.102,0.165,0.061
0.124,0.15,0.067
0.111,0.157,0.035
0.12,0.149,0.061
0.12,0.144,0.035
0.111,0.152,0.044
0.114,0.165,0.054
0.103,0.161,0.042
0.113,0.152,0.059
0.12,0.147,0.038
0.124,0.151,0.066
0.112,0.141,0.052
0.124,0.147,0.036
0.1,0.164,0.065
0.12,0.145,0.036
0.106,0.156,0.041
0.12,0.145,0.05
0.12,0.156,0.041
0.121,0.151,0.035
0.104,0.162,0.043
0.114,0.147,0.049
0.106,0.164,0.042
0.115,0.154,0.045
0.111,0.165,0.045
0.103,0.158,0.059
0.118,0.146,0.052
0.114,0.15,0.039
0.109,0.163,0.048
0.11,0.163,0.042
0.125,0.145,0.033
0.103,0.158,0.062
0.115,0.157,0.052
0.114,0.142,0.05
0.116,0.153,0.041
0.109,0.158,0.054
0.111,0.159,0.051
0.121,0.144,0.052
0.122,0.145,0.051
0.112,0.158,0.052
0.117,0.152,0.062
0.121,0.149,0.036
0.116,0.15,0.055
0.11,0.158,0.048
0.105,0.156,0.051
0.11,0.163,0.054
0.107,0.16,0.05
0.118,0.15,0.04
0.111,0.159,0.056
0.104,0.162,0.037
0.11,0.159,0.048
0.122,0.142,0.04
0.111,0.159,0.049
0.128,0.146,0.031
