StripChart:,Data,
Date:, Tue Feb 14 15:14:22 2023
,
Number of Data Variables =, 13,
Max Number of Data Points =, 100000,
Number of Data Points =, 14918,
Time Interval,         1, to ,    895021,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,Naptha Cut Point - Research Octane Number (Naptha),Diesel Centane Index - Cetane Index (DieselMix),HMI - G8:,HMI - G10:,HMI - G11:,HMI - G13:,HMI - G14:,HMI - G15:,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),
[seconds],[],[],[],[],[],[],[],[],[C],[C],[C],[C],[C],
           1,     60.2466,     46.7453,     21.5529,     13.1915,     19.1489,      66.383,    0.425532,     33.1915,     175.069,     158.783,     265.989,      326.46,     364.743,
          61,     60.2466,     46.7453,     21.5528,     13.1915,     19.1489,      66.383,    0.425532,     33.1915,     175.069,     158.783,     265.989,      326.46,     364.743,
         121,     60.2466,     46.7453,     21.5528,     13.1915,     19.1489,      66.383,    0.425532,     33.1915,     175.069,     158.783,     265.989,      326.46,     364.743,
         181,     60.2466,     46.7453,     21.5528,     13.1915,     19.1489,      66.383,    0.425532,     33.1915,     175.069,     158.783,     265.989,      326.46,     364.743,
         241,     60.2466,     46.7453,     21.5527,     13.1915,     19.1489,      66.383,    0.425532,     33.1915,     175.069,     158.783,     265.989,      326.46,     364.743,
         301,     60.2466,     46.7453,     21.5527,     13.1915,     19.1489,      66.383,    0.425532,     33.1915,     175.069,     158.783,     265.989,      326.46,     364.743,
         361,     60.2466,     46.7453,     21.5527,     13.1915,     19.1489,      66.383,    0.425532,     33.1915,     175.069,     158.783,     265.989,      326.46,     364.743,
         421,     60.2466,     46.7453,     21.5527,     13.1915,     19.1489,      66.383,    0.425532,     33.1915,     175.069,     158.783,     265.989,      326.46,     364.743,
         481,     60.2466,     46.7453,     21.5527,     13.1915,     19.1489,      66.383,    0.425532,     33.1915,     175.069,     158.783,     265.989,      326.46,     364.743,
         541,     60.2466,     46.7453,     21.5526,     13.1915,     19.1489,      66.383,    0.425532,     33.1915,     175.069,     158.783,     265.989,      326.46,     364.743,
         601,     60.2466,     46.7453,     21.5526,     13.1915,     19.1489,      66.383,    0.425532,     33.1915,     175.069,     158.782,     265.989,      326.46,     364.743,
         661,     60.2466,     46.7453,     21.5526,     13.1915,     19.1489,      66.383,    0.425532,     33.1915,     175.069,     158.782,     265.989,      326.46,     364.743,
         721,     60.2466,     46.7453,     21.5526,     13.1915,     19.1489,      66.383,    0.425532,     33.1915,     175.069,     158.782,     265.989,      326.46,     364.743,
