StripChart:,dataset,
Date:, Tue Feb 14 17:17:35 2023
,
Number of Data Variables =, 20,
Max Number of Data Points =, 300,
Number of Data Points =, 23,
Time Interval,         1, to ,       441,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,Kero Product - Mass Flow,Diesel Product - Mass Flow,AGO Product - Mass Flow,Heavy Crude - Mass Flow,Light Crude - Mass Flow,Standard Crude - Mass Flow,DieselMix - Mass Flow,Naptha - Mass Flow,TIC-102 - SP,FIC10705 - SP,FIC10701 - SP,FIC10702 - SP,FIC10703 - SP,
[seconds],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],[C],[kg/h],[kg/h],[kg/h],[kg/h],
           1,     173.062,     158.259,     268.266,     67.5499,     323.524,     366.715,      234999,     31999.9,     29999.7,     12999.6,     9999.96,     24999.9,      199999,     42999.3,     45910.7,         123,      120000,       32000,       30000,       13000,
          21,     173.062,     158.259,     268.266,     67.5499,     323.524,     366.715,      234999,     31999.9,     29999.7,     12999.6,     9999.96,     24999.9,      199999,     42999.2,     45915.1,         123,      120000,       32000,       30000,       13000,
          41,     173.062,     158.259,     268.266,     67.5499,     323.524,     366.715,      234999,     31999.9,     29999.7,     12999.6,     9999.96,     24999.9,      199999,     42999.2,     45919.6,         123,      120000,       32000,       30000,       13000,
          61,     173.062,     158.259,     268.266,     67.5499,     323.528,     366.722,      234999,     31999.9,     29999.7,     12999.6,     9999.96,     24999.9,      199999,     42999.2,     45924.1,         123,      120000,       32000,       30000,       13000,
          81,      173.06,     158.259,     268.271,     67.5502,     323.528,     366.722,      234999,     31999.9,     29999.7,     12999.6,     9999.96,     24999.9,      199999,     42999.2,     45928.5,         123,      120000,       32000,       30000,       13000,
         101,      173.06,     158.259,     268.271,     67.5502,     323.528,     366.722,      234999,     31999.9,     29999.7,     12999.6,     9999.96,     24999.9,      199999,     42999.2,     45932.9,         123,      120000,       32000,       30000,       13000,
         121,      173.06,     158.259,     268.271,     67.5502,     323.532,     366.728,      234999,     31999.9,     29999.7,     12999.6,     9999.96,     24999.9,      199999,     42999.2,     45937.3,         123,      120000,       32000,       30000,       13000,
         141,     173.059,      158.26,     268.275,     67.5504,     323.532,     366.728,      234999,     31999.9,     29999.7,     12999.6,     9999.96,     24999.9,      199999,     42999.2,     45941.7,         123,      120000,       32000,       30000,       13000,
