StripChart:,HMI,
Date:, Tue Feb 28 20:42:02 2023
,
Number of Data Variables =, 20,
Max Number of Data Points =, 10000,
Number of Data Points =, 244,
Time Interval,         1, to ,      4861,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],
           1,     115.187,     211.812,     282.476,     318.803,     360.055,     78161.9,      120047,     49999.9,     40000.1,     173.374,     161.832,       265.7,     67.0684,     326.851,     369.058,      203496,     27999.4,     31999.6,     10999.7,     159.721,
          21,     115.188,     211.812,     282.474,     318.801,     360.055,     78159.4,      120047,       50000,     40000.1,     173.376,     161.832,       265.7,     67.0687,     326.851,     369.058,      203496,     27999.5,     31999.7,     10999.8,     159.719,
          41,     115.188,     211.812,     282.471,     318.799,     360.054,     78157.4,      120046,     49999.9,     40000.1,     173.376,     161.832,       265.7,     67.0687,     326.851,     369.058,      203496,     27999.5,     31999.7,     10999.8,     159.718,
          61,     115.189,     211.811,     282.468,     318.797,     360.053,     78155.2,      120046,     49999.9,     40000.1,     173.376,     161.832,       265.7,     67.0687,     326.858,      369.09,      203496,     27999.5,     31999.7,     10999.8,     159.716,
          81,     115.189,     211.811,     282.465,     318.794,     360.052,     78153.1,      120046,     49999.9,     40000.1,     173.383,     161.834,     265.699,     67.0707,     326.858,      369.09,      203497,     27999.5,     31999.7,     10999.8,     159.714,
         101,     115.189,     211.811,     282.462,     318.792,     360.051,     78151.1,      120046,     49999.9,     40000.1,     173.383,     161.834,     265.699,     67.0707,     326.858,      369.09,      203497,     27999.5,     31999.7,     10999.8,     159.713,
         121,      115.19,     211.811,     282.459,     318.789,     360.051,       78149,      120045,     49999.9,       40000,     173.383,     161.834,     265.699,     67.0707,     326.862,      369.12,      203497,     27999.5,     31999.7,     10999.8,     159.711,
         141,      115.19,      211.81,     282.456,     318.787,      360.05,       78147,      120045,     49999.9,       40000,     173.391,     161.836,     265.698,     67.0723,     326.862,      369.12,      203497,     27999.5,     31999.7,     10999.8,     159.709,
         161,      115.19,      211.81,     282.453,     318.784,     360.049,       78145,      120045,     49999.9,       40000,     173.391,     161.836,     265.698,     67.0723,     326.862,      369.12,      203497,     27999.5,     31999.7,     10999.8,     159.708,
         181,     115.191,      211.81,      282.45,     318.782,     360.048,       78143,      120045,     49999.9,       40000,     173.391,     161.836,     265.698,     67.0723,     326.865,     369.146,      203497,     27999.5,     31999.7,     10999.8,     159.706,
         201,     115.191,     211.809,     282.447,     318.779,     360.048,     78141.1,      120044,     49999.9,       40000,     173.398,     161.838,     265.697,      67.074,     326.865,     369.146,      203497,     27999.5,     31999.7,     10999.8,     159.705,
         221,     115.191,     211.809,     282.444,     318.777,     360.047,     78139.1,      120044,     49999.9,       40000,     173.398,     161.838,     265.697,      67.074,     326.865,     369.146,      203497,     27999.5,     31999.7,     10999.8,     159.703,
         241,     115.192,     211.808,     282.441,     318.774,     360.046,     78137.2,      120044,     49999.9,       40000,     173.398,     161.838,     265.697,      67.074,     326.865,     369.169,      203497,     27999.5,     31999.7,     10999.8,     159.702,
