StripChart:,HMI,
Date:, Tue Feb 28 23:12:42 2023
,
Number of Data Variables =, 20,
Max Number of Data Points =, 10000,
Number of Data Points =, 2104,
Time Interval,         1, to ,     42061,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],
           1,     116.794,     201.582,     270.739,      303.45,         360,      119788,      118334,       50000,       40000,      156.78,     141.545,      237.43,     49.1624,     292.981,      322.85,      235000,       28000,       32000,       11000,     216.813,
          21,     116.795,     201.579,     270.739,      303.45,         360,      119788,      118334,       50000,       40000,      156.78,     141.015,     237.214,     48.9754,     292.981,      322.85,      235000,     26420.3,       32000,       11000,     216.813,
          41,     116.795,     201.569,     270.739,      303.45,     360.001,      119788,      118334,       50000,       40000,      156.78,     141.015,     237.214,     48.9754,     292.981,      322.85,      235000,     26099.8,     32000.1,       11000,     216.814,
          61,     116.796,      201.55,     270.737,      303.45,     360.001,      119790,      118334,     50000.1,       40000,      156.78,     141.015,     237.214,     48.9754,     292.981,      322.85,      235000,     25851.6,     32000.2,     11000.1,     216.816,
          81,     116.797,     201.522,     270.729,     303.449,     360.002,      119792,      118334,     50000.3,       40000,      156.78,     141.623,     237.434,     49.1713,     292.981,      322.85,      235000,     25659.3,     32000.4,     11000.1,     216.817,
         101,     116.798,     201.488,     270.711,     303.447,     360.003,      119794,      118334,     50000.6,       40000,      156.78,     141.623,     237.434,     49.1713,     292.981,      322.85,      234999,     25510.3,     32000.5,     11000.2,     216.819,
         121,     116.799,     201.447,     270.682,     303.442,     360.005,      119796,      118334,       50001,       40000,      156.78,     141.623,     237.434,     49.1713,     292.981,      322.85,      234999,     25394.9,     32000.5,     11000.3,      216.82,
         141,       116.8,     201.402,     270.641,     303.432,     360.006,      119798,      118334,     50001.3,     40000.1,      156.78,     142.076,     237.492,     49.2472,     292.981,      322.85,      234999,     25305.4,     32000.6,     11000.3,     216.821,
         161,       116.8,     201.353,     270.591,     303.415,     360.006,      119800,      118334,     50001.6,     40000.2,      156.78,     142.076,     237.492,     49.2472,     292.981,      322.85,      235000,     25236.1,     32000.6,     11000.3,     216.822,
         181,       116.8,     201.302,     270.533,     303.393,     360.007,      119802,      118334,     50001.9,     40000.4,      156.78,     142.076,     237.492,     49.2472,     292.981,     322.849,      235000,     25182.4,     32000.6,     11000.3,     216.822,
         201,     116.799,     201.248,     270.468,     303.366,     360.008,      119803,      118334,     50002.1,     40000.5,      156.78,     142.634,     237.537,     49.3312,     292.981,     322.849,      235000,     25140.8,     32000.6,     11000.3,     216.822,
         221,     116.799,     201.194,     270.399,     303.334,     360.009,      119803,      118334,     50002.2,     40000.7,      156.78,     142.634,     237.537,     49.3312,     292.981,     322.849,      234999,     25108.6,     32000.6,     11000.4,     216.822,
         241,     116.799,     201.139,     270.327,       303.3,      360.01,      119803,      118334,     50002.3,     40000.8,      156.78,     142.634,     237.537,     49.3312,     292.978,     322.849,      234998,     25083.7,     32000.7,     11000.4,     216.822,
         261,     116.799,     201.085,     270.254,     303.263,      360.01,      119803,      118334,     50002.2,     40000.8,      156.78,     143.105,     237.532,     49.3917,     292.978,     322.849,      234995,     25064.5,     32000.7,     11000.4,     216.823,
