StripChart:,Data,
Date:, Thu Mar 09 11:57:43 2023
,
Number of Data Variables =, 13,
Max Number of Data Points =, 100000,
Number of Data Points =, 27,
Time Interval,         1, to ,      1561,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,Naptha Cut Point - Research Octane Number (Naptha),Diesel Centane Index - Cetane Index (DieselMix),HMI - G8:,HMI - G10:,HMI - G11:,HMI - G13:,HMI - G14:,HMI - G15:,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),
[seconds],[],[],[],[],[],[],[],[],[C],[C],[C],[C],[C],
           1,     60.3617,      46.813,     22.2228,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.895,     261.565,     321.694,         361,
          61,     60.3617,      46.813,     22.2249,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.895,     261.565,     321.694,         361,
         121,     60.3617,      46.813,      22.227,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.895,     261.565,     321.694,         361,
         181,     60.3617,      46.813,     22.2291,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.896,     261.565,     321.694,         361,
         241,     60.3617,      46.813,     22.2313,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.896,     261.565,     321.694,         361,
         301,     60.3617,      46.813,     22.2335,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.896,     261.565,     321.695,         361,
         361,     60.3617,      46.813,     22.2356,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.896,     261.565,     321.695,     361.001,
         421,     60.3617,      46.813,     22.2378,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.896,     261.565,     321.695,     361.001,
         481,     60.3617,      46.813,       22.24,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.896,     261.565,     321.695,     361.001,
         541,     60.3616,      46.813,     22.2423,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.896,     261.565,     321.695,     361.001,
         601,     60.3616,      46.813,     22.2445,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.896,     261.565,     321.695,     361.001,
         661,     60.3616,      46.813,     22.2467,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.897,     261.565,     321.695,     361.001,
         721,     60.3616,      46.813,     22.2489,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.897,     261.565,     321.695,     361.001,
         781,     60.3616,      46.813,     22.2512,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.448,     164.897,     261.565,     321.695,     361.001,
         841,     60.3616,      46.813,     22.2534,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.448,     164.897,     261.565,     321.695,     361.001,
         901,     60.3616,      46.813,     22.2556,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.448,     164.897,     261.565,     321.695,     361.001,
         961,     60.3616,      46.813,     22.2578,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.448,     164.897,     261.565,     321.696,     361.001,
        1021,     60.3616,      46.813,     22.2601,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.448,     164.898,     261.566,     321.696,     361.002,
        1081,     60.3616,      46.813,     22.2623,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.448,     164.898,     261.566,     321.696,     361.002,
        1141,     60.3616,      46.813,     22.2645,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.448,     164.898,     261.566,     321.696,     361.002,
        1201,     60.3616,      46.813,     22.2667,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.448,     164.898,     261.566,     321.696,     361.002,
        1261,     60.3616,      46.813,     22.2688,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.448,     164.898,     261.566,     321.696,     361.002,
        1321,     60.3616,      46.813,      22.271,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.448,     164.898,     261.566,     321.696,     361.002,
        1381,     60.3616,      46.813,     22.2731,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.448,     164.898,     261.566,     321.696,     361.002,
        1441,     60.3616,      46.813,     22.2753,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.448,     164.899,     261.566,     321.696,     361.002,
        1501,     60.3616,      46.813,     22.2774,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.448,     164.899,     261.566,     321.696,     361.003,
        1561,     60.3616,      46.813,     22.2795,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.449,     164.899,     261.566,     321.696,     361.003,
