StripChart:,Data,
Date:, Thu Mar 09 13:00:19 2023
,
Number of Data Variables =, 13,
Max Number of Data Points =, 100000,
Number of Data Points =, 1237,
Time Interval,         1, to ,     74161,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,Naptha Cut Point - Research Octane Number (Naptha),Diesel Centane Index - Cetane Index (DieselMix),HMI - G8:,HMI - G10:,HMI - G11:,HMI - G13:,HMI - G14:,HMI - G15:,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),
[seconds],[],[],[],[],[],[],[],[],[C],[C],[C],[C],[C],
           1,     60.3617,      46.813,     22.2228,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.895,     261.565,     321.694,         361,
          61,     60.3617,      46.813,     22.2249,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.895,     261.565,     321.694,         361,
         121,     60.3617,      46.813,      22.227,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.895,     261.565,     321.694,         361,
         181,     60.3617,      46.813,     22.2291,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.896,     261.565,     321.694,         361,
         241,     60.3617,      46.813,     22.2313,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.896,     261.565,     321.694,         361,
         301,     60.3617,      46.813,     22.2335,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.896,     261.565,     321.695,         361,
         361,     60.3617,      46.813,     22.2356,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.896,     261.565,     321.695,     361.001,
         421,     60.3617,      46.813,     22.2378,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.896,     261.565,     321.695,     361.001,
         481,     60.3617,      46.813,       22.24,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.896,     261.565,     321.695,     361.001,
         541,     60.3616,      46.813,     22.2423,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.896,     261.565,     321.695,     361.001,
         601,     60.3616,      46.813,     22.2445,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.896,     261.565,     321.695,     361.001,
         661,     60.3616,      46.813,     22.2467,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.897,     261.565,     321.695,     361.001,
         721,     60.3616,      46.813,     22.2489,     10.6383,     20.4255,     16.9945,     44.2877,     38.7179,     178.447,     164.897,     261.565,     321.695,     361.001,
