StripChart:,HMI,
Date:, Thu Mar 09 20:00:43 2023
,
Number of Data Variables =, 26,
Max Number of Data Points =, 10000,
Number of Data Points =, 2807,
Time Interval,         1, to ,     56121,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,FIC-100 - SP,FIC-100 - PV,FIC-102 - SP,FIC-102 - PV,FIC-101 - PV,FIC-101 - SP,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],
           1,      115.18,     208.123,     281.382,     317.406,         360,     80674.2,      120000,       50000,       40000,     174.066,     163.186,     260.763,     66.4453,     323.767,     364.945,      235786,       25000,       38000,       10000,      162.19,       42850,       55129,       83256,       49811,      130060,      108894,
          21,     115.179,     208.122,     281.382,     317.406,     359.996,     80674.3,      119999,     49999.6,     39999.6,     174.066,     163.186,     260.763,     66.4453,     323.767,     364.945,      234581,       25000,     38000.1,     10000.1,     162.191,       42850,     49571.3,       83256,     64234.5,      120358,      108894,
          41,      115.18,     208.122,     281.381,     317.405,     359.971,     80674.6,      120000,     50000.1,     39999.9,     174.066,     163.186,     260.763,     66.4453,     323.767,     364.945,      234596,     25000.1,     38000.2,     10000.1,     162.192,       42850,       48317,       83256,     67722.1,      118208,      108894,
          61,      115.18,     208.121,     281.381,     317.403,     359.953,       80675,      120000,     50000.1,     39999.9,     174.066,     163.186,     260.763,     66.4453,     323.767,     364.944,      234612,     25000.2,     38000.3,     10000.1,     162.195,       42850,     47297.9,       83256,     70570.9,      116464,      108894,
          81,     115.181,     208.121,     281.379,       317.4,     359.938,     80675.5,      120000,     50000.2,     40000.1,     174.066,     163.185,     260.763,     66.4452,     323.767,     364.944,      234631,     25000.3,     38000.5,     10000.2,     162.198,       42850,     46467.3,       83256,     72894.5,      115043,      108894,
         101,     115.182,      208.12,     281.377,     317.396,      359.92,     80676.2,      120000,     50000.2,     40000.3,     174.066,     163.185,     260.763,     66.4452,     323.767,     364.944,      234647,     25000.5,     38000.8,     10000.2,     162.203,       42850,     45790.1,       83256,     74789.1,      113884,      108894,
         121,     115.183,     208.119,     281.375,     317.391,     359.899,     80677.2,      120000,     50000.2,     40000.5,     174.066,     163.185,     260.763,     66.4452,     323.767,     364.944,      234662,     25000.7,       38001,     10000.3,     162.208,       42850,     45238.2,       83256,     76334.2,      112940,      108894,
         141,     115.185,     208.118,     281.371,     317.385,     359.875,     80678.6,      120000,     50000.3,     40000.7,     174.066,     163.181,     260.763,     66.4449,     323.767,     364.944,      234674,     25000.9,     38001.3,     10000.3,     162.214,       42850,     44788.2,       83256,     77594.1,      112171,      108894,
         161,     115.186,     208.116,     281.367,     317.377,     359.847,     80680.4,      119999,     50000.3,     40000.9,     174.066,     163.181,     260.763,     66.4449,     323.767,     364.944,      234683,     25001.1,     38001.7,     10000.4,     162.222,       42850,     44421.2,       83256,       78621,      111543,      108894,
         181,     115.189,     208.115,     281.363,     317.369,     359.811,     80682.9,      119999,     50000.3,     40001.1,     174.066,     163.181,     260.763,     66.4449,     323.767,     364.944,      234688,     25001.3,     38002.1,     10000.5,     162.231,       42850,     44121.6,       83256,     79457.4,      111029,      108894,
         201,     115.192,     208.115,     281.359,      317.36,     359.773,     80686.3,      119999,     50000.3,     40001.2,     174.066,     163.172,     260.763,     66.4442,     323.767,     364.944,      234688,     25001.7,     38002.6,     10000.7,     162.243,       42850,     43876.5,       83256,     80137.9,      110609,      108894,
