StripChart:,HMI,,,,,,,,,,,,,,,,,,,,,,,,,
Date:, Thu Mar 09 20:16:41 2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Data Variables =,26,,,,,,,,,,,,,,,,,,,,,,,,,
Max Number of Data Points =,10000,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Data Points =,4467,,,,,,,,,,,,,,,,,,,,,,,,,
Time Interval,1, to ,89321,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- 
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,FIC-100 - SP,FIC-100 - PV,FIC-102 - SP,FIC-102 - PV,FIC-101 - PV,FIC-101 - SP
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h]
1,119.417,210.527,280.731,316.695,360,91173.9,120026,50000,40000,175.363,161.178,260.364,66.3083,320.017,361.263,235001,26000.1,37500.1,12000.1,170.388,76609,76609.2,97587,97587.3,60804.2,60804
21,119.417,210.527,280.731,316.695,360,91174.2,120025,50000,39999.9,175.363,161.178,260.364,66.3083,320.017,361.263,235001,26000.1,37500.1,12000.1,170.389,76609,76609.2,97587,97587.3,60804.2,60804
41,119.417,210.527,280.73,316.694,360,91174.3,120025,50000,39999.9,175.363,161.178,260.364,66.3083,320.017,361.263,235001,26000.1,37500.1,12000.1,170.389,76609,76609.2,97587,97587.3,60804.2,60804
61,119.417,210.526,280.73,316.694,360,91174.5,120025,50000,39999.9,175.363,161.178,260.364,66.3083,320.015,361.26,235001,26000.1,37500.1,12000.1,170.389,76609,76609.2,97587,97587.3,60804.2,60804
81,119.417,210.526,280.73,316.694,360,91174.7,120025,50000,39999.9,175.364,161.176,260.363,66.3079,320.015,361.26,235001,26000.1,37500.1,12000.1,170.39,76609,76609.2,97587,97587.3,60804.2,60804
89161,114.891,211.567,283.165,317.903,360,75878.7,120000,50000,40000,175.899,164.2,264.907,67.3935,328.058,367.099,235000,27000,36000,9000,159.169,72204,72204,34698,34698,128098,128098
89181,114.891,211.567,283.165,317.903,360,75878.7,120000,50000,40000,175.899,164.2,264.907,67.3935,328.058,367.099,235000,27000,36000,9000,159.169,72204,72204,34698,34698,128098,128098
89201,114.891,211.567,283.165,317.903,360,75878.7,120000,50000,40000,175.899,164.2,264.907,67.3935,328.058,367.099,235000,27000,36000,9000,159.169,72204,72204,34698,34698,128098,128098
89221,114.891,211.567,283.165,317.903,360,75878.7,120000,50000,40000,175.899,164.2,264.907,67.3935,328.058,367.098,235000,27000,36000,9000,159.169,72204,72204,34698,34698,128098,128098
89241,114.891,211.567,283.165,317.903,360,75878.8,120000,50000,40000,175.899,164.2,264.907,67.3935,328.058,367.098,235000,27000,36000,9000,159.169,72204,72204,34698,34698,128098,128098
89261,114.891,211.567,283.165,317.903,360,75878.8,120000,50000,40000,175.899,164.2,264.907,67.3935,328.058,367.098,235000,27000,36000,9000,159.169,72204,72204,34698,34698,128098,128098
89281,114.891,211.567,283.165,317.903,360,75878.8,120000,50000,40000,175.899,164.2,264.907,67.3935,328.058,367.098,235000,27000,36000,9000,159.169,72204,72204,34698,34698,128098,128098
89301,114.891,211.567,283.165,317.903,360,75878.8,120000,50000,40000,175.899,164.201,264.907,67.3935,328.058,367.098,235000,27000,36000,9000,159.169,72204,72204,34698,34698,128098,128098
89321,114.891,211.567,283.165,317.903,360,75878.8,120000,50000,40000,175.899,164.201,264.907,67.3935,328.058,367.098,235000,27000,36000,9000,159.169,72204,72204,34698,34698,128098,128098
