序号,一反温度,二反温度,重量空速,反应压力,剂油比,汽油收率,柴油收率,液化气收率,油浆收率,丙烯收率,干气收率,焦炭收率
1,513.44 ,504.66 ,32.23 ,171.46 ,5.05 ,36.94,22.1,15,5.45,7.65,4.9,7.96
2,513.42 ,504.42 ,31.51 ,171.36 ,5.00 ,39.12,22.11,14.9,4.86,6.73,4.67,7.61
3,513.41 ,504.86 ,32.69 ,171.74 ,5.06 ,38.1,22.54,14.41,5.17,7.73,4.63,7.42
4,513.42 ,505.03 ,32.49 ,172.99 ,5.04 ,36.56,22.76,15.11,5.46,7.7,4.67,7.74
5,512.76 ,504.90 ,32.26 ,173.62 ,5.01 ,36.89,22.28,15.73,5.21,6.55,4.87,8.47
6,512.92 ,505.29 ,32.25 ,172.32 ,5.02 ,37.91,20.87,16.35,5.18,7.61,4.87,7.21
7,512.97 ,504.41 ,32.29 ,171.39 ,5.02 ,36.646,22.75,15.36,5.2,6.64,4.77,8.634
8,512.35 ,504.07 ,32.04 ,172.07 ,5.03 ,37.447,22.1,16.23,5.31,7.51,4.7,6.703
9,512.75 ,504.48 ,32.80 ,170.59 ,5.03 ,37.08,23.07,15.25,5.14,6.47,4.69,8.3
10,513.18 ,504.60 ,32.62 ,171.34 ,5.08 ,36.39,23.17,15.9,5.66,7.65,4.95,6.28
11,513.16 ,504.51 ,31.46 ,172.22 ,5.05 ,37.8,21.52,15.38,5.44,6.74,4.78,8.34
12,513.36 ,504.78 ,32.49 ,171.53 ,5.06 ,37.81,23.05,16.69,5.02,6.41,4.71,6.31
13,513.19 ,504.83 ,33.06 ,171.79 ,5.04 ,38.375,21.8,15.6,5.37,7.67,4.71,6.475
14,513.17 ,504.67 ,33.04 ,171.81 ,5.04 ,37.68,22.52,14.9,5.53,7.6,4.93,6.84
15,513.38 ,504.60 ,32.42 ,171.46 ,5.05 ,36.72,22.73,15.2,5.58,7.52,5.1,7.15
16,513.14 ,504.48 ,31.97 ,171.06 ,5.06 ,37.3,22.93,15.15,5.45,6.34,4.79,8.04
17,513.19 ,504.41 ,32.51 ,170.84 ,5.08 ,37.9,22.42,15.68,5.3,7.37,4.77,6.56
18,512.96 ,504.21 ,32.13 ,170.89 ,5.07 ,38.41,22.64,14.68,5.5,7.32,4.69,6.76
19,512.81 ,504.07 ,32.67 ,170.21 ,5.06 ,37.71,22.88,14.89,5.34,7.48,4.75,6.95
20,513.47 ,504.37 ,33.86 ,170.18 ,5.05 ,36.89,22.47,15.8,5.53,6.4,4.96,7.95
21,513.28 ,503.02 ,32.82 ,168.06 ,5.06 ,37.82,22.23,15.2,5.91,7.54,4.94,6.36
22,513.98 ,504.24 ,32.87 ,169.29 ,5.01 ,37.25,22,15,5.51,7.47,4.81,7.96
23,514.45 ,504.63 ,32.98 ,169.79 ,5.00 ,38.31,22.14,14.78,5.5,7.4,4.67,7.2
24,514.47 ,504.46 ,33.70 ,169.90 ,5.03 ,38.57,21.91,15,5.5,7.54,4.7,6.78
25,514.12 ,504.76 ,33.07 ,170.21 ,5.05 ,37.98,22.78,15.4,5.86,7,4.8,6.18
26,514.44 ,505.43 ,34.16 ,171.34 ,5.05 ,37.52,21.72,15.73,4.91,7.55,4.78,7.79
27,514.46 ,505.45 ,33.00 ,171.99 ,5.05 ,38.37,22.57,15.07,5.95,7.37,4.66,6.01
28,514.70 ,505.60 ,32.42 ,172.32 ,5.12 ,38.42,22.31,14.78,5.76,7.47,4.65,6.61
29,514.87 ,505.84 ,32.71 ,172.39 ,5.15 ,38.2,22.02,15.06,5.35,7.56,4.69,7.12
30,514.82 ,505.75 ,33.15 ,171.86 ,5.15 ,38.33,21.51,15.05,5.58,7.54,5.09,6.9
31,515.35 ,505.66 ,32.90 ,171.73 ,5.10 ,37.87,24.031,14.03,5.67,7.17,4.94,6.289
32,515.31 ,505.59 ,33.00 ,171.64 ,5.08 ,36.76,24.48,14.5,5.18,6.26,4.95,7.87
33,515.15 ,505.77 ,33.27 ,171.59 ,5.04 ,36.23,25,15,5.33,6.56,4.93,6.95
34,515.05 ,505.89 ,33.42 ,171.46 ,5.02 ,37.19,23.82,13.56,5.44,6.94,4.79,8.26
35,515.09 ,505.77 ,33.43 ,170.04 ,5.02 ,37.84,24.16,14.12,5.52,7.2,4.81,6.35
